,base,snap,calc,ex_en,osc
169,/home/share/wesolowski/NR_CGE_HUJI,419,5_Angstroms/emb1,3.3459,2.567185
170,/home/share/wesolowski/NR_CGE_HUJI,420,5_Angstroms/emb1,3.428815,2.491396
171,/home/share/wesolowski/NR_CGE_HUJI,421,5_Angstroms/emb1,3.124095,2.642797
172,/home/share/wesolowski/NR_CGE_HUJI,422,5_Angstroms/emb1,3.623768,2.623229
173,/home/share/wesolowski/NR_CGE_HUJI,423,5_Angstroms/emb1,3.552532,2.538253
174,/home/share/wesolowski/NR_CGE_HUJI,424,5_Angstroms/emb1,3.37697,2.457908
175,/home/share/wesolowski/NR_CGE_HUJI,425,5_Angstroms/emb1,3.771957,2.53012
176,/home/share/wesolowski/NR_CGE_HUJI,426,5_Angstroms/emb1,3.664393,2.476487
177,/home/share/wesolowski/NR_CGE_HUJI,427,5_Angstroms/emb1,3.233275,2.589923
178,/home/share/wesolowski/NR_CGE_HUJI,428,5_Angstroms/emb1,3.649813,2.559589
179,/home/share/wesolowski/NR_CGE_HUJI,429,5_Angstroms/emb1,3.288969,2.482361
180,/home/share/wesolowski/NR_CGE_HUJI,430,5_Angstroms/emb1,3.566266,2.512006
181,/home/share/wesolowski/NR_CGE_HUJI,431,5_Angstroms/emb1,3.413441,2.592094
182,/home/share/wesolowski/NR_CGE_HUJI,432,5_Angstroms/emb1,3.713158,2.608577
183,/home/share/wesolowski/NR_CGE_HUJI,433,5_Angstroms/emb1,3.534056,2.47566
184,/home/share/wesolowski/NR_CGE_HUJI,434,5_Angstroms/emb1,3.363204,2.464952
185,/home/share/wesolowski/NR_CGE_HUJI,435,5_Angstroms/emb1,3.365863,2.495858
186,/home/share/wesolowski/NR_CGE_HUJI,436,5_Angstroms/emb1,3.342512,2.481715
187,/home/share/wesolowski/NR_CGE_HUJI,437,5_Angstroms/emb1,3.809263,2.67491
188,/home/share/wesolowski/NR_CGE_HUJI,438,5_Angstroms/emb1,3.629384,2.562029
189,/home/share/wesolowski/NR_CGE_HUJI,439,5_Angstroms/emb1,3.258203,2.479691
190,/home/share/wesolowski/NR_CGE_HUJI,440,5_Angstroms/emb1,3.376139,2.590958
191,/home/share/wesolowski/NR_CGE_HUJI,441,5_Angstroms/emb1,3.614952,2.711582
192,/home/share/wesolowski/NR_CGE_HUJI,442,5_Angstroms/emb1,3.437552,2.558149
193,/home/share/wesolowski/NR_CGE_HUJI,443,5_Angstroms/emb1,3.498262,2.510891
194,/home/share/wesolowski/NR_CGE_HUJI,444,5_Angstroms/emb1,3.330893,2.662465
195,/home/share/wesolowski/NR_CGE_HUJI,445,5_Angstroms/emb1,3.778066,2.547555
196,/home/share/wesolowski/NR_CGE_HUJI,446,5_Angstroms/emb1,3.696942,2.453564
197,/home/share/wesolowski/NR_CGE_HUJI,447,5_Angstroms/emb1,3.321471,2.452131
198,/home/share/wesolowski/NR_CGE_HUJI,448,5_Angstroms/emb1,3.388632,2.366973
199,/home/share/wesolowski/NR_CGE_HUJI,449,5_Angstroms/emb1,3.245101,2.62054
200,/home/share/wesolowski/NR_CGE_HUJI,450,5_Angstroms/emb1,3.389932,2.502032
201,/home/share/wesolowski/NR_CGE_HUJI,451,5_Angstroms/emb1,3.641149,2.4328
202,/home/share/wesolowski/NR_CGE_HUJI,452,5_Angstroms/emb1,3.416564,2.570148
