,base,snap,calc,SCF,ex_en,osc
156,/home/share/wesolowski/NR_CGE_HUJI,406,iso1,-985.13714198,3.182167,2.370243
157,/home/share/wesolowski/NR_CGE_HUJI,407,iso1,-985.1274444,2.973967,2.519343
158,/home/share/wesolowski/NR_CGE_HUJI,408,iso1,-985.1401635,3.11105,2.394319
159,/home/share/wesolowski/NR_CGE_HUJI,409,iso1,-985.13371427,3.116038,2.369528
160,/home/share/wesolowski/NR_CGE_HUJI,410,iso1,-985.14743559,2.939681,2.552446
161,/home/share/wesolowski/NR_CGE_HUJI,411,iso1,-985.12782607,3.003971,2.416812
162,/home/share/wesolowski/NR_CGE_HUJI,412,iso1,-985.12811867,3.161606,2.500531
163,/home/share/wesolowski/NR_CGE_HUJI,413,iso1,-985.13875363,3.105113,2.281486
164,/home/share/wesolowski/NR_CGE_HUJI,414,iso1,-985.1548127,3.113809,2.462676
165,/home/share/wesolowski/NR_CGE_HUJI,415,iso1,-985.13388787,2.955682,2.364651
166,/home/share/wesolowski/NR_CGE_HUJI,416,iso1,-985.13638329,3.098171,2.416103
167,/home/share/wesolowski/NR_CGE_HUJI,417,iso1,-985.13148209,3.016104,2.436672
168,/home/share/wesolowski/NR_CGE_HUJI,418,iso1,-985.15249624,3.01035,2.439511
169,/home/share/wesolowski/NR_CGE_HUJI,419,iso1,-985.12215243,2.98785,2.479972
170,/home/share/wesolowski/NR_CGE_HUJI,420,iso1,-985.1282042,3.064084,2.366357
171,/home/share/wesolowski/NR_CGE_HUJI,421,iso1,-985.12450376,2.856966,2.566281
172,/home/share/wesolowski/NR_CGE_HUJI,422,iso1,-985.14072101,3.247715,2.485813
173,/home/share/wesolowski/NR_CGE_HUJI,423,iso1,-985.1318867,3.11422,2.354496
174,/home/share/wesolowski/NR_CGE_HUJI,424,iso1,-985.12963379,2.984569,2.35044
175,/home/share/wesolowski/NR_CGE_HUJI,425,iso1,-985.14763037,3.231672,2.321711
176,/home/share/wesolowski/NR_CGE_HUJI,426,iso1,-985.13691954,3.183454,2.294729
177,/home/share/wesolowski/NR_CGE_HUJI,427,iso1,-985.14973035,2.957724,2.502145
178,/home/share/wesolowski/NR_CGE_HUJI,428,iso1,-985.11855936,3.266446,2.415793
179,/home/share/wesolowski/NR_CGE_HUJI,429,iso1,-985.11824631,2.958721,2.401336
180,/home/share/wesolowski/NR_CGE_HUJI,430,iso1,-985.13115672,3.146092,2.3416
181,/home/share/wesolowski/NR_CGE_HUJI,431,iso1,-985.12559364,2.946387,2.434573
182,/home/share/wesolowski/NR_CGE_HUJI,432,iso1,-985.13191372,3.270641,2.435323
183,/home/share/wesolowski/NR_CGE_HUJI,433,iso1,-985.1213249,3.221097,2.385569
184,/home/share/wesolowski/NR_CGE_HUJI,434,iso1,-985.12614337,2.971703,2.352372
